"Actual","Predicted","nPredictions"
"bûchette d","saint- fél","0"
"bûchette d","saint-nect","0"
"bûchette d","scarmoza","0"
"bûchette d","stilton","0"
"bûchette d","tomme de v","0"
"bûchette d","tête de mo","0"
"bûchette d","vacherin","0"
"cabecou","beaufort","0"
"cabecou","brie de me","0"
"cabecou","bûchette d","1"
"cabecou","cabecou","21"
"cabecou","camembert","0"
"cabecou","chabichou","0"
"cabecou","cheddar","0"
"cabecou","chèvre","0"
"cabecou","comté","0"
"cabecou","emmental","0"
"cabecou","epoisses","0"
"cabecou","feta","0"
"cabecou","fourme d’a","0"
"cabecou","fromage fr","3"
"cabecou","gruyère","0"
"cabecou","maroilles","0"
"cabecou","mimolette","0"
"cabecou","mont d’or","0"
"cabecou","morbier","0"
"cabecou","mothais","0"
"cabecou","mozzarella","0"
"cabecou","munster","0"
"cabecou","neufchatel","0"
"cabecou","ossau- ira","0"
"cabecou","parmesan","0"
"cabecou","pecorino","0"
"cabecou","pouligny s","0"
"cabecou","raclette","0"
"cabecou","reblochon","0"
"cabecou","roquefort","0"
"cabecou","saint- fél","0"
"cabecou","saint-nect","0"
"cabecou","scarmoza","0"
"cabecou","stilton","0"
"cabecou","tomme de v","0"
"cabecou","tête de mo","0"
"cabecou","vacherin","0"
"camembert","beaufort","0"
"camembert","brie de me","0"
"camembert","bûchette d","0"
"camembert","cabecou","0"
"camembert","camembert","14"
"camembert","chabichou","0"
"camembert","cheddar","0"
"camembert","chèvre","1"
"camembert","comté","0"
"camembert","emmental","0"
"camembert","epoisses","1"
"camembert","feta","0"
"camembert","fourme d’a","0"
"camembert","fromage fr","5"
"camembert","gruyère","0"
"camembert","maroilles","0"
"camembert","mimolette","0"
"camembert","mont d’or","1"
"camembert","morbier","0"
"camembert","mothais","0"
"camembert","mozzarella","0"
"camembert","munster","0"
"camembert","neufchatel","1"
"camembert","ossau- ira","1"
"camembert","parmesan","0"
"camembert","pecorino","1"
"camembert","pouligny s","0"
"camembert","raclette","0"
"camembert","reblochon","0"
"camembert","roquefort","0"
"camembert","saint- fél","0"
"camembert","saint-nect","0"
"camembert","scarmoza","0"
"camembert","stilton","0"
"camembert","tomme de v","0"
"camembert","tête de mo","0"
"camembert","vacherin","0"
"chabichou","beaufort","0"
"chabichou","brie de me","0"
"chabichou","bûchette d","0"
"chabichou","cabecou","0"
"chabichou","camembert","0"
"chabichou","chabichou","23"
"chabichou","cheddar","0"
"chabichou","chèvre","0"
"chabichou","comté","1"
"chabichou","emmental","0"
"chabichou","epoisses","0"
"chabichou","feta","0"
"chabichou","fourme d’a","0"
"chabichou","fromage fr","1"
"chabichou","gruyère","0"
"chabichou","maroilles","0"
"chabichou","mimolette","0"
"chabichou","mont d’or","0"
"chabichou","morbier","0"
"chabichou","mothais","0"
"chabichou","mozzarella","0"
"chabichou","munster","0"
"chabichou","neufchatel","0"
"chabichou","ossau- ira","0"
"chabichou","parmesan","0"
"chabichou","pecorino","0"
"chabichou","pouligny s","0"
"chabichou","raclette","0"
"chabichou","reblochon","0"
"chabichou","roquefort","0"
"chabichou","saint- fél","0"
"chabichou","saint-nect","0"
"chabichou","scarmoza","0"
"chabichou","stilton","0"
"chabichou","tomme de v","0"
"chabichou","tête de mo","0"
"chabichou","vacherin","0"
"cheddar","beaufort","1"
"cheddar","brie de me","0"
"cheddar","bûchette d","0"
"cheddar","cabecou","0"
"cheddar","camembert","0"
"cheddar","chabichou","1"
"cheddar","cheddar","16"
"cheddar","chèvre","0"
"cheddar","comté","0"
"cheddar","emmental","0"
"cheddar","epoisses","0"
"cheddar","feta","1"
"cheddar","fourme d’a","0"
"cheddar","fromage fr","1"
"cheddar","gruyère","1"
"cheddar","maroilles","0"
"cheddar","mimolette","1"
"cheddar","mont d’or","0"
"cheddar","morbier","0"
"cheddar","mothais","0"
"cheddar","mozzarella","0"
"cheddar","munster","0"
"cheddar","neufchatel","0"
"cheddar","ossau- ira","2"
"cheddar","parmesan","0"
"cheddar","pecorino","0"
"cheddar","pouligny s","0"
"cheddar","raclette","0"
"cheddar","reblochon","0"
"cheddar","roquefort","1"
"cheddar","saint- fél","0"
"cheddar","saint-nect","0"
"cheddar","scarmoza","0"
"cheddar","stilton","0"
"cheddar","tomme de v","0"
"cheddar","tête de mo","0"
"cheddar","vacherin","0"
"chèvre","beaufort","0"
"chèvre","brie de me","0"
"chèvre","bûchette d","3"
"chèvre","cabecou","0"
"chèvre","camembert","0"
"chèvre","chabichou","1"
"chèvre","cheddar","0"
"chèvre","chèvre","16"
"chèvre","comté","0"
"chèvre","emmental","0"
"chèvre","epoisses","0"
"chèvre","feta","1"
"chèvre","fourme d’a","0"
"chèvre","fromage fr","2"
"chèvre","gruyère","0"
"chèvre","maroilles","0"
"chèvre","mimolette","0"
"chèvre","mont d’or","0"
"chèvre","morbier","0"
"chèvre","mothais","0"
"chèvre","mozzarella","0"
"chèvre","munster","0"
"chèvre","neufchatel","0"
"chèvre","ossau- ira","1"
"chèvre","parmesan","0"
"chèvre","pecorino","0"
"chèvre","pouligny s","1"
"chèvre","raclette","0"
"chèvre","reblochon","0"
"chèvre","roquefort","0"
"chèvre","saint- fél","0"
"chèvre","saint-nect","0"
"chèvre","scarmoza","0"
"chèvre","stilton","0"
"chèvre","tomme de v","0"
"chèvre","tête de mo","0"
"chèvre","vacherin","0"
"comté","beaufort","0"
"comté","brie de me","0"
"comté","bûchette d","0"
"comté","cabecou","0"
"comté","camembert","0"
"comté","chabichou","0"
"comté","cheddar","0"
"comté","chèvre","0"
"comté","comté","18"
"comté","emmental","0"
"comté","epoisses","0"
"comté","feta","0"
"comté","fourme d’a","0"
"comté","fromage fr","0"
"comté","gruyère","2"
"comté","maroilles","0"
"comté","mimolette","0"
"comté","mont d’or","0"
"comté","morbier","2"
"comté","mothais","0"
"comté","mozzarella","0"
"comté","munster","0"
"comté","neufchatel","0"
"comté","ossau- ira","0"
"comté","parmesan","0"
"comté","pecorino","0"
"comté","pouligny s","2"
"comté","raclette","0"
"comté","reblochon","0"
"comté","roquefort","0"
"comté","saint- fél","0"
"comté","saint-nect","0"
"comté","scarmoza","1"
"comté","stilton","0"
"comté","tomme de v","0"
"comté","tête de mo","0"
"comté","vacherin","0"
"emmental","beaufort","0"
"emmental","brie de me","0"
"emmental","bûchette d","0"
"emmental","cabecou","0"
"emmental","camembert","0"
"emmental","chabichou","0"
"emmental","cheddar","0"
"emmental","chèvre","0"
"emmental","comté","0"
"emmental","emmental","25"
"emmental","epoisses","0"
"emmental","feta","0"
"emmental","fourme d’a","0"
"emmental","fromage fr","0"
"emmental","gruyère","0"
"emmental","maroilles","0"
"emmental","mimolette","0"
"emmental","mont d’or","0"
"emmental","morbier","0"
"emmental","mothais","0"
"emmental","mozzarella","0"
"emmental","munster","0"
"emmental","neufchatel","0"
"emmental","ossau- ira","0"
"emmental","parmesan","0"
"emmental","pecorino","0"
"emmental","pouligny s","0"
"emmental","raclette","0"
"emmental","reblochon","0"
"emmental","roquefort","0"
"emmental","saint- fél","0"
"emmental","saint-nect","0"
"emmental","scarmoza","0"
"emmental","stilton","0"
"emmental","tomme de v","0"
"emmental","tête de mo","0"
"emmental","vacherin","0"
"epoisses","beaufort","0"
"epoisses","brie de me","0"
"epoisses","bûchette d","0"
"epoisses","cabecou","0"
"epoisses","camembert","0"
"epoisses","chabichou","1"
"epoisses","cheddar","0"
"epoisses","chèvre","0"
"epoisses","comté","0"
"epoisses","emmental","0"
"epoisses","epoisses","23"
"epoisses","feta","0"
"epoisses","fourme d’a","0"
"epoisses","fromage fr","0"
"epoisses","gruyère","0"
"epoisses","maroilles","0"
"epoisses","mimolette","0"
"epoisses","mont d’or","0"
"epoisses","morbier","0"
"epoisses","mothais","0"
"epoisses","mozzarella","0"
"epoisses","munster","0"
"epoisses","neufchatel","0"
"epoisses","ossau- ira","0"
"epoisses","parmesan","0"
"epoisses","pecorino","0"
"epoisses","pouligny s","0"
"epoisses","raclette","0"
"epoisses","reblochon","0"
"epoisses","roquefort","0"
"epoisses","saint- fél","1"
"epoisses","saint-nect","0"
"epoisses","scarmoza","0"
"epoisses","stilton","0"
"epoisses","tomme de v","0"
"epoisses","tête de mo","0"
"epoisses","vacherin","0"
"feta","beaufort","0"
"feta","brie de me","0"
"feta","bûchette d","0"
"feta","cabecou","0"
"feta","camembert","0"
"feta","chabichou","0"
"feta","cheddar","0"
"feta","chèvre","0"
"feta","comté","0"
"feta","emmental","0"
"feta","epoisses","0"
"feta","feta","20"
"feta","fourme d’a","0"
"feta","fromage fr","3"
"feta","gruyère","0"
"feta","maroilles","0"
"feta","mimolette","0"
"feta","mont d’or","0"
"feta","morbier","0"
"feta","mothais","0"
"feta","mozzarella","0"
"feta","munster","0"
"feta","neufchatel","2"
"feta","ossau- ira","0"
"feta","parmesan","0"
"feta","pecorino","0"
"feta","pouligny s","0"
"feta","raclette","0"
"feta","reblochon","0"
"feta","roquefort","0"
"feta","saint- fél","0"
"feta","saint-nect","0"
"feta","scarmoza","0"
"feta","stilton","0"
"feta","tomme de v","0"
"feta","tête de mo","0"
"feta","vacherin","0"
"fourme d’a","beaufort","0"
"fourme d’a","brie de me","0"
"fourme d’a","bûchette d","0"
"fourme d’a","cabecou","0"
"fourme d’a","camembert","0"
"fourme d’a","chabichou","0"
"fourme d’a","cheddar","0"
"fourme d’a","chèvre","0"
"fourme d’a","comté","0"
"fourme d’a","emmental","0"
"fourme d’a","epoisses","0"
"fourme d’a","feta","0"
"fourme d’a","fourme d’a","21"
"fourme d’a","fromage fr","0"
"fourme d’a","gruyère","0"
"fourme d’a","maroilles","0"
"fourme d’a","mimolette","0"
"fourme d’a","mont d’or","0"
"fourme d’a","morbier","0"
"fourme d’a","mothais","0"
"fourme d’a","mozzarella","0"
"fourme d’a","munster","0"
"fourme d’a","neufchatel","0"
"fourme d’a","ossau- ira","0"
"fourme d’a","parmesan","0"
"fourme d’a","pecorino","0"
"fourme d’a","pouligny s","1"
"fourme d’a","raclette","0"
"fourme d’a","reblochon","0"
"fourme d’a","roquefort","3"
"fourme d’a","saint- fél","0"
"fourme d’a","saint-nect","0"
"fourme d’a","scarmoza","0"
"fourme d’a","stilton","0"
"fourme d’a","tomme de v","0"
"fourme d’a","tête de mo","0"
"fourme d’a","vacherin","0"
"fromage fr","beaufort","0"
"fromage fr","brie de me","0"
"fromage fr","bûchette d","0"
"fromage fr","cabecou","0"
"fromage fr","camembert","0"
"fromage fr","chabichou","0"
"fromage fr","cheddar","0"
"fromage fr","chèvre","0"
"fromage fr","comté","0"
"fromage fr","emmental","0"
"fromage fr","epoisses","0"
"fromage fr","feta","1"
"fromage fr","fourme d’a","0"
"fromage fr","fromage fr","24"
"fromage fr","gruyère","0"
"fromage fr","maroilles","0"
"fromage fr","mimolette","0"
"fromage fr","mont d’or","0"
"fromage fr","morbier","0"
"fromage fr","mothais","0"
"fromage fr","mozzarella","0"
"fromage fr","munster","0"
"fromage fr","neufchatel","0"
"fromage fr","ossau- ira","0"
"fromage fr","parmesan","0"
"fromage fr","pecorino","0"
"fromage fr","pouligny s","0"
"fromage fr","raclette","0"
"fromage fr","reblochon","0"
"fromage fr","roquefort","0"
"fromage fr","saint- fél","0"
"fromage fr","saint-nect","0"
"fromage fr","scarmoza","0"
"fromage fr","stilton","0"
"fromage fr","tomme de v","0"
"fromage fr","tête de mo","0"
"fromage fr","vacherin","0"
"gruyère","beaufort","1"
"gruyère","brie de me","0"
"gruyère","bûchette d","0"
"gruyère","cabecou","0"
"gruyère","camembert","0"
"gruyère","chabichou","0"
"gruyère","cheddar","1"
"gruyère","chèvre","0"
"gruyère","comté","1"
"gruyère","emmental","0"
"gruyère","epoisses","0"
"gruyère","feta","0"
"gruyère","fourme d’a","0"
"gruyère","fromage fr","0"
"gruyère","gruyère","21"
"gruyère","maroilles","0"
"gruyère","mimolette","0"
"gruyère","mont d’or","0"
"gruyère","morbier","0"
"gruyère","mothais","0"
"gruyère","mozzarella","0"
"gruyère","munster","0"
"gruyère","neufchatel","0"
"gruyère","ossau- ira","0"
"gruyère","parmesan","0"
"gruyère","pecorino","0"
"gruyère","pouligny s","0"
"gruyère","raclette","0"
"gruyère","reblochon","0"
"gruyère","roquefort","0"
"gruyère","saint- fél","0"
"gruyère","saint-nect","0"
"gruyère","scarmoza","1"
"gruyère","stilton","0"
"gruyère","tomme de v","0"
"gruyère","tête de mo","0"
"gruyère","vacherin","0"
"maroilles","beaufort","0"
"maroilles","brie de me","0"
"maroilles","bûchette d","0"
"maroilles","cabecou","0"
"maroilles","camembert","0"
"maroilles","chabichou","0"
"maroilles","cheddar","0"
"maroilles","chèvre","0"
"maroilles","comté","0"
"maroilles","emmental","0"
"maroilles","epoisses","1"
"maroilles","feta","0"
"maroilles","fourme d’a","0"
"maroilles","fromage fr","2"
"maroilles","gruyère","0"
"maroilles","maroilles","19"
"maroilles","mimolette","0"
"maroilles","mont d’or","0"
"maroilles","morbier","0"
"maroilles","mothais","0"
"maroilles","mozzarella","0"
"maroilles","munster","0"
"maroilles","neufchatel","0"
"maroilles","ossau- ira","0"
"maroilles","parmesan","0"
"maroilles","pecorino","1"
"maroilles","pouligny s","0"
"maroilles","raclette","0"
"maroilles","reblochon","0"
"maroilles","roquefort","0"
"maroilles","saint- fél","0"
"maroilles","saint-nect","0"
"maroilles","scarmoza","0"
"maroilles","stilton","0"
"maroilles","tomme de v","1"
"maroilles","tête de mo","0"
"maroilles","vacherin","1"
"mimolette","beaufort","0"
"mimolette","brie de me","0"
"mimolette","bûchette d","0"
"mimolette","cabecou","0"
"mimolette","camembert","0"
"mimolette","chabichou","0"
"mimolette","cheddar","0"
"mimolette","chèvre","0"
"mimolette","comté","0"
"mimolette","emmental","1"
"mimolette","epoisses","1"
"mimolette","feta","0"
"mimolette","fourme d’a","0"
"mimolette","fromage fr","0"
"mimolette","gruyère","0"
"mimolette","maroilles","0"
"mimolette","mimolette","22"
"mimolette","mont d’or","0"
"mimolette","morbier","0"
"mimolette","mothais","0"
"mimolette","mozzarella","0"
"mimolette","munster","0"
"mimolette","neufchatel","0"
"mimolette","ossau- ira","1"
"mimolette","parmesan","0"
"mimolette","pecorino","0"
"mimolette","pouligny s","0"
"mimolette","raclette","0"
"mimolette","reblochon","0"
"mimolette","roquefort","0"
"mimolette","saint- fél","0"
"mimolette","saint-nect","0"
"mimolette","scarmoza","0"
"mimolette","stilton","0"
"mimolette","tomme de v","0"
"mimolette","tête de mo","0"
"mimolette","vacherin","0"
"mont d’or","beaufort","0"
"mont d’or","brie de me","0"
"mont d’or","bûchette d","0"
"mont d’or","cabecou","0"
"mont d’or","camembert","0"
"mont d’or","chabichou","0"
"mont d’or","cheddar","0"
"mont d’or","chèvre","0"
"mont d’or","comté","0"
"mont d’or","emmental","0"
"mont d’or","epoisses","0"
"mont d’or","feta","0"
"mont d’or","fourme d’a","0"
"mont d’or","fromage fr","0"
"mont d’or","gruyère","0"
"mont d’or","maroilles","0"
"mont d’or","mimolette","0"
"mont d’or","mont d’or","24"
"mont d’or","morbier","0"
"mont d’or","mothais","0"
"mont d’or","mozzarella","0"
"mont d’or","munster","0"
"mont d’or","neufchatel","0"
"mont d’or","ossau- ira","0"
"mont d’or","parmesan","0"
"mont d’or","pecorino","0"
"mont d’or","pouligny s","1"
"mont d’or","raclette","0"
"mont d’or","reblochon","0"
"mont d’or","roquefort","0"
"mont d’or","saint- fél","0"
"mont d’or","saint-nect","0"
"mont d’or","scarmoza","0"
"mont d’or","stilton","0"
"mont d’or","tomme de v","0"
"mont d’or","tête de mo","0"
"mont d’or","vacherin","0"
"morbier","beaufort","0"
"morbier","brie de me","0"
"morbier","bûchette d","0"
"morbier","cabecou","0"
"morbier","camembert","0"
"morbier","chabichou","0"
"morbier","cheddar","0"
"morbier","chèvre","0"
"morbier","comté","0"
"morbier","emmental","0"
"morbier","epoisses","0"
"morbier","feta","0"
"morbier","fourme d’a","0"
"morbier","fromage fr","0"
"morbier","gruyère","0"
"morbier","maroilles","1"
"morbier","mimolette","0"
"morbier","mont d’or","0"
"morbier","morbier","24"
"morbier","mothais","0"
"morbier","mozzarella","0"
"morbier","munster","0"
"morbier","neufchatel","0"
"morbier","ossau- ira","0"
"morbier","parmesan","0"
"morbier","pecorino","0"
"morbier","pouligny s","0"
"morbier","raclette","0"
"morbier","reblochon","0"
"morbier","roquefort","0"
"morbier","saint- fél","0"
"morbier","saint-nect","0"
"morbier","scarmoza","0"
"morbier","stilton","0"
"morbier","tomme de v","0"
"morbier","tête de mo","0"
"morbier","vacherin","0"
"mothais","beaufort","1"
"mothais","brie de me","0"
"mothais","bûchette d","0"
"mothais","cabecou","0"
"mothais","camembert","0"
"mothais","chabichou","2"
"mothais","cheddar","0"
"mothais","chèvre","0"
"mothais","comté","0"
"mothais","emmental","0"
"mothais","epoisses","0"
"mothais","feta","0"
"mothais","fourme d’a","0"
"mothais","fromage fr","3"
"mothais","gruyère","0"
"mothais","maroilles","0"
"mothais","mimolette","0"
"mothais","mont d’or","0"
"mothais","morbier","0"
"mothais","mothais","16"
"mothais","mozzarella","0"
"mothais","munster","0"
"mothais","neufchatel","0"
"mothais","ossau- ira","1"
"mothais","parmesan","0"
"mothais","pecorino","0"
"mothais","pouligny s","1"
"mothais","raclette","0"
"mothais","reblochon","0"
"mothais","roquefort","0"
"mothais","saint- fél","0"
"mothais","saint-nect","1"
"mothais","scarmoza","0"
"mothais","stilton","0"
"mothais","tomme de v","0"
"mothais","tête de mo","0"
"mothais","vacherin","0"
"mozzarella","beaufort","0"
"mozzarella","brie de me","0"
"mozzarella","bûchette d","0"
"mozzarella","cabecou","0"
"mozzarella","camembert","0"
"mozzarella","chabichou","0"
"mozzarella","cheddar","2"
"mozzarella","chèvre","0"
"mozzarella","comté","0"
"mozzarella","emmental","0"
"mozzarella","epoisses","0"
"mozzarella","feta","0"
"mozzarella","fourme d’a","0"
"mozzarella","fromage fr","3"
"mozzarella","gruyère","0"
"mozzarella","maroilles","0"
"mozzarella","mimolette","0"
"mozzarella","mont d’or","0"
"mozzarella","morbier","0"
"mozzarella","mothais","0"
"mozzarella","mozzarella","18"
"mozzarella","munster","0"
"mozzarella","neufchatel","0"
"mozzarella","ossau- ira","0"
"mozzarella","parmesan","0"
"mozzarella","pecorino","1"
"mozzarella","pouligny s","0"
"mozzarella","raclette","0"
"mozzarella","reblochon","0"
"mozzarella","roquefort","0"
"mozzarella","saint- fél","0"
"mozzarella","saint-nect","0"
"mozzarella","scarmoza","1"
"mozzarella","stilton","0"
"mozzarella","tomme de v","0"
"mozzarella","tête de mo","0"
"mozzarella","vacherin","0"
"munster","beaufort","0"
"munster","brie de me","0"
"munster","bûchette d","1"
"munster","cabecou","0"
"munster","camembert","0"
"munster","chabichou","0"
"munster","cheddar","0"
"munster","chèvre","0"
"munster","comté","0"
"munster","emmental","0"
"munster","epoisses","2"
"munster","feta","0"
"munster","fourme d’a","0"
"munster","fromage fr","1"
"munster","gruyère","0"
"munster","maroilles","2"
"munster","mimolette","0"
"munster","mont d’or","0"
"munster","morbier","0"
"munster","mothais","0"
"munster","mozzarella","0"
"munster","munster","15"
"munster","neufchatel","0"
"munster","ossau- ira","0"
"munster","parmesan","0"
"munster","pecorino","0"
"munster","pouligny s","0"
"munster","raclette","0"
"munster","reblochon","2"
"munster","roquefort","0"
"munster","saint- fél","0"
"munster","saint-nect","0"
"munster","scarmoza","0"
"munster","stilton","0"
"munster","tomme de v","1"
"munster","tête de mo","1"
"munster","vacherin","0"
"neufchatel","beaufort","0"
"neufchatel","brie de me","0"
"neufchatel","bûchette d","1"
"neufchatel","cabecou","0"
"neufchatel","camembert","0"
"neufchatel","chabichou","0"
"neufchatel","cheddar","0"
"neufchatel","chèvre","0"
"neufchatel","comté","0"
"neufchatel","emmental","0"
"neufchatel","epoisses","0"
"neufchatel","feta","0"
"neufchatel","fourme d’a","0"
"neufchatel","fromage fr","1"
"neufchatel","gruyère","0"
"neufchatel","maroilles","0"
"neufchatel","mimolette","0"
"neufchatel","mont d’or","0"
"neufchatel","morbier","0"
"neufchatel","mothais","0"
"neufchatel","mozzarella","0"
"neufchatel","munster","0"
"neufchatel","neufchatel","22"
"neufchatel","ossau- ira","0"
"neufchatel","parmesan","0"
"neufchatel","pecorino","0"
"neufchatel","pouligny s","0"
"neufchatel","raclette","0"
"neufchatel","reblochon","0"
"neufchatel","roquefort","0"
"neufchatel","saint- fél","0"
"neufchatel","saint-nect","1"
"neufchatel","scarmoza","0"
"neufchatel","stilton","0"
"neufchatel","tomme de v","0"
"neufchatel","tête de mo","0"
"neufchatel","vacherin","0"
"ossau- ira","beaufort","0"
"ossau- ira","brie de me","0"
"ossau- ira","bûchette d","0"
"ossau- ira","cabecou","0"
"ossau- ira","camembert","0"
"ossau- ira","chabichou","1"
"ossau- ira","cheddar","0"
"ossau- ira","chèvre","0"
"ossau- ira","comté","0"
"ossau- ira","emmental","0"
"ossau- ira","epoisses","0"
"ossau- ira","feta","0"
"ossau- ira","fourme d’a","0"
"ossau- ira","fromage fr","1"
"ossau- ira","gruyère","0"
"ossau- ira","maroilles","0"
"ossau- ira","mimolette","0"
"ossau- ira","mont d’or","0"
"ossau- ira","morbier","0"
"ossau- ira","mothais","0"
"ossau- ira","mozzarella","0"
"ossau- ira","munster","1"
"ossau- ira","neufchatel","0"
"ossau- ira","ossau- ira","20"
"ossau- ira","parmesan","0"
"ossau- ira","pecorino","1"
"ossau- ira","pouligny s","0"
"ossau- ira","raclette","1"
"ossau- ira","reblochon","0"
"ossau- ira","roquefort","0"
"ossau- ira","saint- fél","0"
"ossau- ira","saint-nect","0"
"ossau- ira","scarmoza","0"
"ossau- ira","stilton","0"
"ossau- ira","tomme de v","0"
"ossau- ira","tête de mo","0"
"ossau- ira","vacherin","0"
"parmesan","beaufort","1"
"parmesan","brie de me","0"
"parmesan","bûchette d","0"
"parmesan","cabecou","0"
"parmesan","camembert","0"
"parmesan","chabichou","1"
"parmesan","cheddar","1"
"parmesan","chèvre","1"
"parmesan","comté","0"
"parmesan","emmental","1"
"parmesan","epoisses","0"
"parmesan","feta","0"
"parmesan","fourme d’a","0"
"parmesan","fromage fr","1"
"parmesan","gruyère","1"
"parmesan","maroilles","0"
"parmesan","mimolette","0"
"parmesan","mont d’or","0"
"parmesan","morbier","0"
"parmesan","mothais","1"
"parmesan","mozzarella","0"
"parmesan","munster","0"
"parmesan","neufchatel","0"
"parmesan","ossau- ira","1"
"parmesan","parmesan","15"
"parmesan","pecorino","1"
"parmesan","pouligny s","0"
"parmesan","raclette","0"
"parmesan","reblochon","0"
"parmesan","roquefort","0"
"parmesan","saint- fél","0"
"parmesan","saint-nect","0"
"parmesan","scarmoza","0"
"parmesan","stilton","0"
"parmesan","tomme de v","0"
"parmesan","tête de mo","0"
"parmesan","vacherin","0"
"pecorino","beaufort","0"
"pecorino","brie de me","0"
"pecorino","bûchette d","0"
"pecorino","cabecou","0"
"pecorino","camembert","0"
"pecorino","chabichou","0"
"pecorino","cheddar","1"
"pecorino","chèvre","0"
"pecorino","comté","0"
"pecorino","emmental","0"
"pecorino","epoisses","0"
"pecorino","feta","0"
"pecorino","fourme d’a","0"
"pecorino","fromage fr","0"
"pecorino","gruyère","0"
"pecorino","maroilles","0"
"pecorino","mimolette","0"
"pecorino","mont d’or","0"
"pecorino","morbier","0"
"pecorino","mothais","0"
"pecorino","mozzarella","1"
"pecorino","munster","0"
"pecorino","neufchatel","0"
"pecorino","ossau- ira","3"
"pecorino","parmesan","1"
"pecorino","pecorino","18"
"pecorino","pouligny s","0"
"pecorino","raclette","0"
"pecorino","reblochon","0"
"pecorino","roquefort","0"
"pecorino","saint- fél","0"
"pecorino","saint-nect","0"
"pecorino","scarmoza","1"
"pecorino","stilton","0"
"pecorino","tomme de v","0"
"pecorino","tête de mo","0"
"pecorino","vacherin","0"
"pouligny s","beaufort","0"
"pouligny s","brie de me","0"
"pouligny s","bûchette d","0"
"pouligny s","cabecou","0"
"pouligny s","camembert","0"
"pouligny s","chabichou","0"
"pouligny s","cheddar","0"
"pouligny s","chèvre","0"
"pouligny s","comté","0"
"pouligny s","emmental","0"
"pouligny s","epoisses","0"
"pouligny s","feta","0"
"pouligny s","fourme d’a","0"
"pouligny s","fromage fr","0"
"pouligny s","gruyère","0"
"pouligny s","maroilles","0"
"pouligny s","mimolette","0"
"pouligny s","mont d’or","0"
"pouligny s","morbier","0"
"pouligny s","mothais","0"
"pouligny s","mozzarella","0"
"pouligny s","munster","0"
"pouligny s","neufchatel","0"
"pouligny s","ossau- ira","0"
"pouligny s","parmesan","0"
"pouligny s","pecorino","0"
"pouligny s","pouligny s","25"
"pouligny s","raclette","0"
"pouligny s","reblochon","0"
"pouligny s","roquefort","0"
